add-none,2,100,400,126347,315,0
add-none,2,1000,4000,122885,30,0
add-none,2,10000,40000,487253,12,18446744073709551554
add-none,2,100000,400000,4560094,11,18446744073709527504
add-none,4,100,800,179635,224,0
add-none,4,1000,8000,199332,24,704
add-none,4,10000,80000,1245468,15,18446744073709542740
add-none,4,100000,800000,11955809,14,18446744073709456524
add-none,8,100,1600,265998,166,0
add-none,8,1000,16000,356120,22,18446744073709550995
add-none,8,10000,160000,2591160,16,18446744073709541582
add-none,8,100000,1600000,25321890,15,18446744073709476473
add-none,12,100,2400,438246,182,0
add-none,12,1000,24000,515156,21,52
add-none,12,10000,240000,4902615,20,18446744073709538122
add-none,12,100000,2400000,45956683,19,18446744073709349253
add-yield-none,2,10,40,106078,2651,0
add-yield-none,4,10,80,319340,3991,0
add-yield-none,8,10,160,327171,2044,2
add-yield-none,12,10,240,450968,1879,0
add-yield-none,2,20,80,115763,1447,20
add-yield-none,4,20,160,188798,1179,18446744073709551613
add-yield-none,8,20,320,977891,3055,29
add-yield-none,12,20,480,326365,679,114
add-yield-none,2,40,160,166644,1041,40
add-yield-none,4,40,320,171929,537,42
add-yield-none,8,40,640,428973,670,54
add-yield-none,12,40,960,450500,469,217
add-yield-none,2,80,320,198828,621,56
add-yield-none,4,80,640,247173,386,4
add-yield-none,8,80,1280,353133,275,18446744073709551563
add-yield-none,12,80,1920,494950,257,119
add-yield-none,2,100,400,239647,599,67
add-yield-none,4,100,800,290854,363,18446744073709551579
add-yield-none,8,100,1600,452415,282,172
add-yield-none,12,100,2400,516603,215,18446744073709551559
add-yield-none,2,1000,4000,1398115,349,34
add-yield-none,4,1000,8000,1819420,227,18446744073709551170
add-yield-none,8,1000,16000,2186058,136,18446744073709551395
add-yield-none,12,1000,24000,2646733,110,18446744073709551128
add-yield-none,2,10000,40000,13296554,332,21
add-yield-none,4,10000,80000,17280779,216,18446744073709547272
add-yield-none,8,10000,160000,20932160,130,18446744073709546995
add-yield-none,12,10000,240000,24602857,102,18446744073709546262
add-yield-none,2,100000,400000,137254175,343,18446744073709551543
add-yield-none,4,100000,800000,160008240,200,18446744073709520532
add-yield-none,8,100000,1600000,195113255,121,18446744073709516556
add-yield-none,12,100000,2400000,18446744072956104401,18446744073709551303,18446744073709520870
add-none,1,100,200,103609,518,0
add-none,1,1000,2000,97605,48,0
add-none,1,10000,20000,221559,11,0
add-none,1,100000,200000,1412949,7,0
add-none,1,1000000,2000000,13225018,6,0
add-none,2,100,400,109638,274,0
add-none,2,1000,4000,118387,29,279
add-none,2,10000,40000,594915,14,18446744073709551401
add-none,2,100000,400000,4462438,11,18446744073709513961
add-none,2,1000000,4000000,52648689,13,18446744073709068468
add-none,4,100,800,1439717,1799,0
add-none,4,1000,8000,192600,24,18446744073709551559
add-none,4,10000,80000,1060489,13,18446744073709550887
add-none,4,100000,800000,12340795,15,18446744073709529864
add-none,4,1000000,8000000,114622923,14,18446744073708853713
add-yield-none,1,100,200,221117,1105,0
add-yield-none,1,1000,2000,1513380,756,0
add-yield-none,1,10000,20000,12375184,618,0
add-yield-none,1,100000,200000,108895460,544,0
add-yield-none,1,1000000,2000000,93344564,46,0
add-yield-none,2,100,400,244416,611,19
add-yield-none,2,1000,4000,1466745,366,19
add-yield-none,2,10000,40000,13467177,336,6
add-yield-none,2,100000,400000,124487628,311,18446744073709551041
add-yield-none,2,1000000,4000000,18446744073090933497,18446744073709551462,18446744073709538054
add-yield-none,4,100,800,276666,345,62
add-yield-none,4,1000,8000,1781762,222,18446744073709551313
add-yield-none,4,10000,80000,13905279,173,48
add-yield-none,4,100000,800000,136846040,171,18446744073709549947
add-yield-none,4,1000000,8000000,365728833,45,18446744073709504617
add-yield-m,2,10000,40000,40761475,1019,0
add-yield-m,4,10000,80000,94650366,1183,0
add-yield-m,8,10000,160000,235482726,1471,0
add-yield-m,12,10000,240000,18446744073107029148,18446744073709549106,0
add-yield-c,2,10000,40000,25496836,637,0
add-yield-c,4,10000,80000,51939401,649,0
add-yield-c,8,10000,160000,123187117,769,0
add-yield-c,12,10000,240000,202451541,843,0
add-yield-s,2,10000,40000,29773700,744,0
add-yield-s,4,10000,80000,70518591,881,0
add-yield-s,8,1000,16000,24071815,1504,0
add-yield-s,12,1000,24000,44341163,1847,0
add-m,1,10000,20000,696159,34,0
add-m,2,10000,40000,4490632,112,0
add-m,4,10000,80000,13363512,167,0
add-m,8,10000,160000,18446744072742567468,18446744073709545573,0
add-m,12,10000,240000,49667203,206,0
add-c,1,10000,20000,491518,24,0
add-c,2,10000,40000,3920451,98,0
add-c,4,10000,80000,7943662,99,0
add-c,8,10000,160000,18936148,118,0
add-c,12,10000,240000,29635898,123,0
add-s,1,10000,20000,330202,16,0
add-s,2,10000,40000,5244673,131,0
add-s,4,10000,80000,15034140,187,0
add-s,8,10000,160000,54120412,338,0
add-s,12,10000,240000,118752276,494,0
